spectrum_identity,material
al0.91 as f0.73 fe0.09 h0.27 li0.05 na0.95 o4.27,mineral
al1.02 ca0.02 na0.98 o8 si2.98,mineral
al1.07 ca3.94 fe2.93 h28 mg1.01 o40 p6 sr0.06,mineral
al1.282 ca0.03 cl0.05 f0.22 fe2.43 h1.38 k0.88 mg0.12 mn0.03 na0.07 o11.73 si2.808 ti0.21,mineral
al1.356 be3 fe0.384 h10.944 mg0.258 na0.425 o18.912 si6,mineral
al1.8 b ca1.65 fe0.2 h mg0.1 mn1.2 o16 si4,mineral
al1.84 ca0.93 fe0.16 h18 mg0.04 mn2.96 o26 p4 zn0.07,mineral
al1.86 b ca1.95 fe0.18 h0.9 mg0.015 mn0.995 o16 si4,mineral
al1.876 ba0.002 ca0.162 h34 k0.03 mg0.047 n1.315 na0.106 o22.52 si7.123,mineral
al1.9 h4 na1.95 o14 si4.1,mineral
al1.98 be cr0.02 o4,mineral
al12 ca5.515 cl3 k2.505 na7.5 o60 s3 si12,mineral
al12.12 b34.68 ca4.98 na24.34 o206.27 si56.18 zr3.28,mineral
al2 ba h3 mg1.97 mn0.03 o15 p3,mineral
al2 ba o8 si2,mineral
al2 be3 o18 si6,mineral
al2 ca0.12 fe2.58 mg0.27 o12 si3,mineral
al2 ca2 h6 o22 si6 sn,mineral
al2 fe0.02 h44 mg0.28 mn0.64 o38 s4 zn0.06,mineral
al2 fe3 o12 si3,mineral
al2 h3 o7 p,mineral
al2 h34 o29 s3,mineral
al2 h4 na2.04 o14 si4,mineral
al2 h6 k na o10.765 si2,mineral
al2 h8 mn9 o32 si8,mineral
al2 mg3 o12 si3,mineral
al2 o3,mineral
al2 o5 si,mineral
al2.08 ca2 fe0.39 h mn0.53 o13 si3,mineral
al2.09 ca2 fe0.91 h o13 si3,mineral
al2.66 be2 f2 k0.46 na6.2 o39 si15.34,mineral
al2.672 ca0.82 h12 k o22 si5.328,mineral
al3 ba0.882 h7 o14 p2,mineral
al3 be2 f2 k0.983 na6.017 o39 si15,mineral
al3 bi0.49 ca0.23 h6 o14 p1.8 si0.2 sr0.28,mineral
al3 f14 na5,mineral
al3 h2 k o12 si3,mineral
al3 h4 na o12 p2,mineral
al3 h6 k o14 s2,mineral
al3 h6 k0.42 na0.58 o14 s2,mineral
al3.02 h8 k0.012 mg0.26 mn1.74 o20 si4 v0.98,mineral
al3.156 ca1.01 k0.164 na0.226 o24 si8.844,mineral
al4 ba0.08 fe2.26 h4 mg0.74 o26 p3.92 sr1.92 v0.08,mineral
al4 ca0.87 h4 li3.72 na0.41 o20 p4,mineral
al4 fe0.14 mg1.86 na0.09 o18.58 si5,mineral
al4 h16 ni0.72 o20 v1.88 zn0.28,mineral
al4.251 ca0.084 fe0.06 k0.336 mg1.94 o18 si4.749,mineral
al4.76 fe0.34 o16 sb2.9,mineral
al5.88 ca0.94 cl0.48 h0.96 na6.4 o24.48 s3.54 si6.12,mineral
al7.7 ca2.7 h12.68 o45.862 p4 si3 sr0.3,mineral
al8.435 fe0.83 h o15 sn zn0.36,mineral
al9.8 b27.8 ca4 cr fe5.8 li4 na19.6 ni0.4 o177 p0.6 si45.1 zn2.5,mineral
alabandite,mineral
alabandite__r070174-1__infrared__infrared_data_processed__1054,mineral
alabandite__r070174__raman__532__0__unoriented__raman_data_processed__36781,mineral
alabandite__r070174__raman__780__0__unoriented__raman_data_processed__36783,mineral
alacranite,mineral
alacranite__r061028__raman__532__0__unoriented__raman_data_processed__14769,mineral
alacranite__r140323__raman__532__0__unoriented__raman_data_processed__38927,mineral
alacranite__r150030__raman__532__0__unoriented__raman_data_processed__38929,mineral
alacranite__r150030__raman__780__0__unoriented__raman_data_processed__38931,mineral
alamosite,mineral
alamosite__r060067__raman__532__0__unoriented__raman_data_processed__26621,mineral
alamosite__r060067__raman__780__0__unoriented__raman_data_processed__26623,mineral
albite,mineral
"albite (wards, 72)",other material
albite-wards-45-v-1000-16-kbr,other material
albite__r040068-1__infrared__infrared_data_processed__199,mineral
albite__r040068__raman__514__0__unoriented__raman_data_processed__9427,mineral
albite__r040068__raman__532__0__unoriented__raman_data_processed__15181,mineral
albite__r040068__raman__785__0__unoriented__raman_data_processed__15183,mineral
albite__r040129-1__infrared__infrared_data_processed__4,mineral
albite__r040129__raman__514__0__unoriented__raman_data_processed__9551,mineral
albite__r040129__raman__532__0__unoriented__raman_data_processed__19752,mineral
albite__r040129__raman__785__0__unoriented__raman_data_processed__19754,mineral
albite__r050253-1__infrared__infrared_data_processed__1159,mineral
albite__r050253-1__infrared__infrared_data_processed__926,mineral
albite__r050253__raman__514__0__unoriented__raman_data_processed__10664,mineral
albite__r050253__raman__532__0__unoriented__raman_data_processed__28172,mineral
albite__r050253__raman__780__0__unoriented__raman_data_processed__28174,mineral
albite__r050402-1__infrared__infrared_data_processed__389,mineral
albite__r050402__raman__514__0__unoriented__raman_data_processed__10859,mineral
albite__r050402__raman__532__0__unoriented__raman_data_processed__30006,mineral
albite__r050402__raman__780__0__unoriented__raman_data_processed__30008,mineral
albite__r060054-1__infrared__infrared_data_processed__805,mineral
albite__r060054__raman__780__0__unoriented__raman_data_processed__29474,mineral
albite__r070268-1__infrared__infrared_data_processed__989,mineral
albite__r070268__raman__785__0__unoriented__raman_data_processed__25732,mineral
albite__r100169__raman__532__0__unoriented__raman_data_processed__34686,mineral
albite__r100169__raman__780__0__unoriented__raman_data_processed__34688,mineral
albiteglass,mineral
albuterol sulfate (lot #tf2684),other material
alcojet_evap_solid,mineral
alcojet_solid,mineral
aldermanite,mineral
aldermanite__r100073__raman__532__0__unoriented__raman_data_processed__34125,mineral
aleksite,mineral
aleksite__r070011__raman__532__0__unoriented__raman_data_processed__16837,mineral
alforsite,mineral
alforsite__r070356__raman__532__0__unoriented__raman_data_processed__21395,mineral
alfredopetrovite,mineral
algae desmarestia viridis,organic matter
algae fucus serratus,organic matter
algae laminaria digita and hyperborea,organic matter
algae laminaria sacharina,organic matter
algin,organic matter
alginic acid  sodium salt,organic matter
alginic acid sodium salt,other material
alginic_acid_aldrich,other material
alizarin 23600_532,other material
alizarin 23600_785,other material
alkyd varnish,other plastic
alkyd.resin,other plastic
alkyd_varnish,other plastic
allabogdanite,mineral
allactite,mineral
allactite__r070175-1__infrared__infrared_data_processed__1046,mineral
allactite__r070175__raman__532__0__unoriented__raman_data_processed__18694,mineral
allactite__r070175__raman__785__0__unoriented__raman_data_processed__18696,mineral
allactite__r150120__raman__532__0__unoriented__raman_data_processed__38841,mineral
allactite__r150120__raman__780__0__unoriented__raman_data_processed__38843,mineral
allanite-(ce),mineral
allanite-(la),mineral
allanitece__r050043-1__infrared__infrared_data_processed__1233,mineral
allanitece__r060418__raman__532__0__unoriented__raman_data_processed__35446,mineral
allanitece__r080044-1__infrared__infrared_data_processed__1014,mineral
allanitece__r080044__raman__532__0__unoriented__raman_data_processed__35469,mineral
allanitece__r080092__raman__532__0__unoriented__raman_data_processed__29915,mineral
allanitela__r070246__raman__532__0__unoriented__raman_data_processed__20078,mineral
allanpringite,mineral
allanpringite__r080147__raman__532__0__unoriented__raman_data_processed__31608,mineral
alleghanyite,mineral
alleghanyite__r060904__raman__532__0__unoriented__raman_data_processed__14093,mineral
alleghanyite__r060904__raman__785__0__unoriented__raman_data_processed__14095,mineral
alleghanyite__r070378__raman__532__0__unoriented__raman_data_processed__21694,mineral
alleghanyite__r070378__raman__785__0__unoriented__raman_data_processed__21692,mineral
alloclasite,mineral
allophane,mineral
allophane__r070188__raman__532__0__unoriented__raman_data_processed__18856,mineral
allophane__r120001__raman__532__0__unoriented__raman_data_processed__36421,mineral
allophane__r120001__raman__780__0__unoriented__raman_data_processed__36468,mineral
alloriite,mineral
alloriite__r070560__raman__532__0__unoriented__raman_data_processed__34200,mineral
alloriite__r070560__raman__780__0__unoriented__raman_data_processed__34202,mineral
alluaudite,mineral
alluaudite__r100070__raman__532__0__unoriented__raman_data_processed__33931,mineral
allyl alcohol,other material
allyl bromide,other plastic
almandine,mineral
almandine garnet,mineral
almandine__r040076-1__infrared__infrared_data_processed__200,mineral
almandine__r040076__raman__514__0__unoriented__raman_data_processed__9441,mineral
almandine__r040076__raman__532__0__unoriented__raman_data_processed__24606,mineral
almandine__r040076__raman__780__0__unoriented__raman_data_processed__24596,mineral
almandine__r040079-1__infrared__infrared_data_processed__201,mineral
almandine__r040079__raman__514__0__unoriented__raman_data_processed__9447,mineral
almandine__r040079__raman__532__0__unoriented__raman_data_processed__24612,mineral
almandine__r040079__raman__780__0__unoriented__raman_data_processed__24608,mineral
almandine__r040168__raman__514__0__unoriented__raman_data_processed__9649,mineral
almandine__r040168__raman__532__0__unoriented__raman_data_processed__20878,mineral
almandine__r040168__raman__785__0__unoriented__raman_data_processed__20880,mineral
almandine__r050029-1__infrared__infrared_data_processed__202,mineral
almandine__r050029__raman__514__0__unoriented__raman_data_processed__9886,mineral
almandine__r050029__raman__532__0__unoriented__raman_data_processed__21075,mineral
almandine__r050029__raman__785__0__unoriented__raman_data_processed__21077,mineral
almandine__r060099__raman__532__0__unoriented__raman_data_processed__28565,mineral
almandine__r060099__raman__780__0__unoriented__raman_data_processed__28569,mineral
almandine__r060450__raman__532__0__unoriented__raman_data_processed__31845,mineral
almandine__r060450__raman__780__0__unoriented__raman_data_processed__31847,mineral
almandine__r070129-1__infrared__infrared_data_processed__1030,mineral
almandine__r070129__raman__532__0__unoriented__raman_data_processed__18288,mineral
almandine__r070129__raman__785__0__unoriented__raman_data_processed__18290,mineral
almandine__r100046__raman__532__0__unoriented__raman_data_processed__33758,mineral
almandine__r100046__raman__780__0__unoriented__raman_data_processed__33760,mineral
almandine__r120145__raman__532__0__unoriented__raman_data_processed__37201,mineral
almandine__r120145__raman__780__0__unoriented__raman_data_processed__37204,mineral
almandine__r120152__raman__532__0__unoriented__raman_data_processed__37209,mineral
almandine__r120152__raman__780__0__unoriented__raman_data_processed__37211,mineral
alpha-benzyl-n-methylphenethylamine hcl (lot #2tdm-208-01),other material
alpha-ethylaminohexanophenone hcl (lot #0491964-24),other material
alpha-ethyltryptamine (lot #0448839-14),other material
alpha-lactose (lot #79h01681),other material
alpha-maltose monohydrate (sigma grade i),other material
alpha-methylacetyl fentanyl hcl   (lot #0496094-9),other material
alpha-php hcl (lot #rm-150116-01),other material
alpha-ppp hcl (lot #0491370-7),other material
alpha-pvp hcl (lot #n17-p29g),other material
alpha-pvt hcl (lot #rm-140331-01),other material
alpha-pyrrolidinobutiophenone hcl (lot #alb225-2),other material
alpha_propylene_glycol_psm,other material
alphad lactose monohydrate__d120008__raman__532__0__unoriented__raman_data_processed__36149,mineral
alprazolam (lot #n1p26),other material
also4(oh),mineral
also4oh__r141118__raman__532__0__unoriented__raman_data_processed__38249,mineral
also4oh__r141118__raman__780__0__unoriented__raman_data_processed__38251,mineral
alstonite,mineral
alstonite__r050483__raman__532__0__unoriented__raman_data_processed__31626,mineral
alstonite__r050483__raman__780__0__unoriented__raman_data_processed__31628,mineral
alstonite__r090049__raman__532__0__unoriented__raman_data_processed__32811,mineral
alstonite__r090049__raman__780__0__unoriented__raman_data_processed__32813,mineral
altaite,mineral
alterite,mineral
althausite,mineral
althausite__r070113__raman__532__0__unoriented__raman_data_processed__18822,mineral
althausite__r070113__raman__785__0__unoriented__raman_data_processed__25088,mineral
alum-(k),mineral
alum-(na),mineral
aluminite,mineral
aluminite__r060691__raman__532__0__unoriented__raman_data_processed__19596,mineral
aluminite__r060691__raman__785__0__unoriented__raman_data_processed__30377,mineral
aluminium,mineral
aluminum fluoride,other material
aluminum hydroxide,other material
alumk__r040134-1__infrared__infrared_data_processed__71,mineral
alumk__r040134__raman__514__0__unoriented__raman_data_processed__9559,mineral
alumk__r040134__raman__532__0__unoriented__raman_data_processed__19784,mineral
alumk__r040134__raman__785__0__unoriented__raman_data_processed__19786,mineral
alumk__r060014-1__infrared__infrared_data_processed__1191,mineral
alumk__r060014__raman__532__0__unoriented__raman_data_processed__26509,mineral
alumk__r060014__raman__780__0__unoriented__raman_data_processed__26511,mineral
alumk__r060528__raman__532__0__unoriented__raman_data_processed__10560,mineral
alumk__r060528__raman__780__0__unoriented__raman_data_processed__38474,mineral
alumna__r110204__raman__532__0__unoriented__raman_data_processed__36014,mineral
alumna__r110204__raman__780__0__unoriented__raman_data_processed__36016,mineral
alumohydrocalcite,mineral
alumohydrocalcite__r061067__raman__532__0__unoriented__raman_data_processed__18087,mineral
alumohydrocalcite__r061067__raman__785__0__unoriented__raman_data_processed__14406,mineral
alumohydrocalcite__r070516__raman__532__0__unoriented__raman_data_processed__26268,mineral
alumoklyuchevskite,mineral
alumoklyuchevskite__r070041__raman__532__0__unoriented__raman_data_processed__23322,mineral
alumotungstite__r061044__raman__532__0__unoriented__raman_data_processed__14412,mineral
alunite,mineral
alunite__r060430__raman__532__0__unoriented__raman_data_processed__34994,mineral
alunite__r060430__raman__780__0__unoriented__raman_data_processed__34996,mineral
alunite__r070448__raman__532__0__unoriented__raman_data_processed__21897,mineral
alunite__r070448__raman__785__0__unoriented__raman_data_processed__21899,mineral
alunogen,mineral
alunogen__r060015-1__infrared__infrared_data_processed__803,mineral
alunogen__r060015__raman__532__0__unoriented__raman_data_processed__26513,mineral
alunogen__r060015__raman__780__0__unoriented__raman_data_processed__26515,mineral
alunogen__r070601__raman__532__0__unoriented__raman_data_processed__28349,mineral
alunogen__r070601__raman__780__0__unoriented__raman_data_processed__28350,mineral
am-2201 benzimidazole  (lot #rm-131218-06),other material
am-2201 indazole (lot #0454101-23),other material
am-694 (lot #sl227b3),other material
am1220 (lot #0436983-11),other material
am1248 (lot #n1p21),other material
am2201 (lot #k8h81109),other material
am2233 (lot #0436043-18),other material
am679 (lot #0437656-5),other material
amarantite,mineral
amarantite__r050153-1__infrared__infrared_data_processed__963,mineral
amarantite__r050153__raman__532__0__unoriented__raman_data_processed__27544,mineral
amarantite__r050153__raman__780__0__unoriented__raman_data_processed__27542,mineral
amber,mineral
amber (baltic; a. nissenbaum),mineral
amber (chiapas; dominican republic),mineral
amber (dominican republic; a. nissenbaum),mineral
"amber (hermon, israel; a. nissenbaum)",other material
amber (new jersey; a. nissenbaum),mineral
amber__r060569__raman__532__0__unoriented__raman_data_processed__36245,mineral
amber__r060569__raman__780__0__unoriented__raman_data_processed__36244,mineral
amblygonite,mineral
amblygonite__r040006-1__infrared__infrared_data_processed__1004,mineral
amblygonite__r040006__raman__532__0__unoriented__raman_data_processed__14787,mineral
amblygonite__r040006__raman__785__0__unoriented__raman_data_processed__14789,mineral
amblygonite__r040067-1__infrared__infrared_data_processed__204,mineral
amblygonite__r040067__raman__514__0__unoriented__raman_data_processed__9425,mineral
amblygonite__r040067__raman__532__0__unoriented__raman_data_processed__29982,mineral
amblygonite__r040067__raman__785__0__unoriented__raman_data_processed__15179,mineral
amblygonite__x050012,mineral
ambroxol hcl (lot #071k1677),other material
ameghinite,mineral
ameghinite__r060643__raman__532__0__unoriented__raman_data_processed__11221,mineral
ameghinite__r060643__raman__780__0__unoriented__raman_data_processed__38580,mineral
amesite,mineral
amesite__r070116__raman__532__0__unoriented__raman_data_processed__27167,mineral
amesite__r070116__raman__785__0__unoriented__raman_data_processed__27166,mineral
amesite__r070132-1__infrared__infrared_data_processed__982,mineral
amesite__r070132__raman__532__0__unoriented__raman_data_processed__18273,mineral
amesite__r070132__raman__785__0__unoriented__raman_data_processed__18275,mineral
amicite,mineral
amicite__r080066__raman__532__0__unoriented__raman_data_processed__28728,mineral
amicite__r080066__raman__780__0__unoriented__raman_data_processed__28730,mineral
amideret lm-pektin (25.3%) 44-45451-58,other material
aminoffite,mineral
aminoffite__r100055__raman__532__0__unoriented__raman_data_processed__33807,mineral
aminoffite__r100055__raman__780__0__unoriented__raman_data_processed__33747,mineral
aminopyrine (lot #121757),other material
